"Country Name","Country Code","Indicator Name","Indicator Code","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"BES Islands","BES","Access to Clean Fuels and Technologies for cooking (% of total population)","2.1_ACCESS.CFT.TOT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"BES Islands","BES","Access to electricity (% of rural population with access)","1.2_ACCESS.ELECTRICITY.RURAL","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"BES Islands","BES","Access to electricity (% of total population)","1.1_ACCESS.ELECTRICITY.TOT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"BES Islands","BES","Access to electricity (% of urban population with access)","1.3_ACCESS.ELECTRICITY.URBAN","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"BES Islands","BES","Energy intensity level of primary energy (MJ/2011 USD PPP)","6.1_PRIMARY.ENERGY.INTENSITY","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"BES Islands","BES","Total final energy consumption (TFEC) (TJ)","1.1_TOTAL.FINAL.ENERGY.CONSUM","","","","","","","","","","","","","","","","","","","","","","","3649.2135","3709.1935","3718.9135","3797.7535","",
"Nauru","NRU","Access to Clean Fuels and Technologies for cooking (% of total population)","2.1_ACCESS.CFT.TOT","","","","","","","","","","","73.9","76.29","78.59","80.41","82.11","83.7","85.27","86.21","87.4","88.13","88.95","89.42","89.98","90.54","90.88","91.16","91.33",
"Nauru","NRU","Access to electricity (% of rural population with access)","1.2_ACCESS.ELECTRICITY.RURAL","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nauru","NRU","Access to electricity (% of total population)","1.1_ACCESS.ELECTRICITY.TOT","100","100","100","100","100","100","100","100","99.9999237060547","99.9976348876953","99.9833984375","99.9402465820313","99.858757019043","99.748649597168","99.6289367675781","99.5134353637695","99.4095611572266","99.8","99.2540893554688","99.2056579589844","99.1756439208984","99","99.1622009277344","99.1624450683594","99.1720581054688","99","99.2028045654297",
"Nauru","NRU","Access to electricity (% of urban population with access)","1.3_ACCESS.ELECTRICITY.URBAN","96.2731552124023","96.3979797363281","96.5226364135742","96.6462554931641","96.767822265625","96.8862915039063","97.0006332397461","97.1098327636719","97.2128372192383","97.3086318969727","97.3968276977539","97.4795913696289","97.5597381591797","97.6400909423828","97.7234649658203","97.8126678466797","97.910530090332","98.0198516845703","98.1427001953125","98.2780380249023","98.4240951538086","99","98.7412033081055","98.9086837768555","99.0797348022461","99","99.4257125854492",
"Nauru","NRU","Energy intensity level of primary energy (MJ/2011 USD PPP)","6.1_PRIMARY.ENERGY.INTENSITY","","","","","","","","","","","","","","","","","","","","","","","","","","4.3650096938977","",
"Nauru","NRU","Renewable electricity output (GWh)","4.1.2_REN.ELECTRICITY.OUTPUT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","",
"Nauru","NRU","Renewable electricity share of total electricity output (%)","4.1_SHARE.RE.IN.ELECTRICITY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.609756097560976","0.497512437810945","0.512820512820513","0.469483568075117","0.442477876106195","0.432900432900433","0.421940928270042","0.411522633744856","0.398406374501992","0.398406374501992","",
"Nauru","NRU","Renewable energy consumption (TJ)","3.1_RE.CONSUMPTION","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.311707","0.322388","0.321231","0.324507","0.324956","0.324156","0.325063","0.324444","0.333466","0.32988","",
"Nauru","NRU","Renewable energy share of TFEC (%)","2.1_SHARE.TOTAL.RE.IN.TFEC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0718450652284147","0.0785792805243364","0.077203215689102","0.0846185337971389","0.0836961085054487","0.09256760036895","0.0922575444949949","0.0813197885571204","0.0788501599627345","0.0762903659245616","",
"Nauru","NRU","Total electricity output (GWh)","4.1.1_TOTAL.ELECTRICITY.OUTPUT","29","29","30","30","30","32","32","32","32","33","33","30","30","31","31.9","28.3","16.4","20.1","19.5","21.3","22.6","23.1","23.7","24.3","25.1","25.1","",
"Nauru","NRU","Total final energy consumption (TFEC) (TJ)","1.1_TOTAL.FINAL.ENERGY.CONSUM","1468.4","1471","1372.3","1288.9","1248.5","1193.8","1110.4","1110.4","1070","973.4","901.6","825","784.6","650.2","582.29","592.45","433.86","410.271","416.085","383.494","388.257","350.183","352.343","398.973","422.911","432.4006","",
"Niue","NIU","Access to Clean Fuels and Technologies for cooking (% of total population)","2.1_ACCESS.CFT.TOT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niue","NIU","Access to electricity (% of rural population with access)","1.2_ACCESS.ELECTRICITY.RURAL","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niue","NIU","Access to electricity (% of total population)","1.1_ACCESS.ELECTRICITY.TOT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niue","NIU","Access to electricity (% of urban population with access)","1.3_ACCESS.ELECTRICITY.URBAN","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niue","NIU","Energy intensity level of primary energy (MJ/2011 USD PPP)","6.1_PRIMARY.ENERGY.INTENSITY","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niue","NIU","Renewable electricity output (GWh)","4.1.2_REN.ELECTRICITY.OUTPUT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0669444444444444","0.0686111111111111","0.0644444444444444","0.0666666666666667","0.0666666666666667","0.0666666666666667","",
"Niue","NIU","Renewable electricity share of total electricity output (%)","4.1_SHARE.RE.IN.ELECTRICITY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.1266081922948","2.09844867721272","1.93559152344402","1.98906016907011","2.06611570247934","1.96608503317769","",
"Niue","NIU","Renewable energy consumption (TJ)","3.1_RE.CONSUMPTION","0.33076","0.33076","1.08644","0.33076","0.33076","0.33076","0.33076","0.33076","0.34258","0.34258","0.34258","0.34258","0.3544","0.39582","0.39582","0.39582","16.39582","16.39582","16.40764","16.40764","16.62032","16.62563","16.61231","16.61944","16.63128","16.63123","",
"Niue","NIU","Renewable energy share of TFEC (%)","2.1_SHARE.TOTAL.RE.IN.TFEC","0.572538772209332","0.568993076987123","1.84497483631206","0.558614684222935","0.558614684222935","0.603788629438511","0.603788629438511","0.603788629438511","0.610849215567472","0.60620130951374","0.601623600476129","0.577796510316867","0.631792121851736","0.710337344735963","0.790157348750804","0.830249164922817","24.012592801192","27.8085889184304","18.2121370382028","25.2519960718803","26.7018703430885","24.9861951430763","24.1989713470283","23.6041387334808","23.140630927091","22.3681265799767","",
"Niue","NIU","Total electricity output (GWh)","4.1.1_TOTAL.ELECTRICITY.OUTPUT","2.6","2.7","2.7","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2.877","3.14794444444444","3.26961111111111","3.32944444444444","3.35166666666667","3.22666666666667","3.39083333333333","",
"Niue","NIU","Total final energy consumption (TFEC) (TJ)","1.1_TOTAL.FINAL.ENERGY.CONSUM","57.77076","58.13076","58.88644","59.21076","59.21076","54.78076","54.78076","54.78076","56.08258","56.51258","56.94258","59.29077","56.0944","55.72282","50.09382","47.6748447","68.2800901","58.959554","90.0917886","64.975616","62.2440293","66.5392626","68.6488271","70.4090083","71.8704691","74.35236","",
"Wallis and Futuna","WLF","Access to Clean Fuels and Technologies for cooking (% of total population)","2.1_ACCESS.CFT.TOT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Wallis and Futuna","WLF","Access to electricity (% of rural population with access)","1.2_ACCESS.ELECTRICITY.RURAL","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Wallis and Futuna","WLF","Access to electricity (% of total population)","1.1_ACCESS.ELECTRICITY.TOT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Wallis and Futuna","WLF","Access to electricity (% of urban population with access)","1.3_ACCESS.ELECTRICITY.URBAN","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Wallis and Futuna","WLF","Energy intensity level of primary energy (MJ/2011 USD PPP)","6.1_PRIMARY.ENERGY.INTENSITY","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Wallis and Futuna","WLF","Renewable electricity output (GWh)","4.1.2_REN.ELECTRICITY.OUTPUT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Wallis and Futuna","WLF","Renewable electricity share of total electricity output (%)","4.1_SHARE.RE.IN.ELECTRICITY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Wallis and Futuna","WLF","Renewable energy consumption (TJ)","3.1_RE.CONSUMPTION","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Wallis and Futuna","WLF","Renewable energy share of TFEC (%)","2.1_SHARE.TOTAL.RE.IN.TFEC","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Wallis and Futuna","WLF","Total electricity output (GWh)","4.1.1_TOTAL.ELECTRICITY.OUTPUT","0","0","0","0","0","0","0","0","0","0","0","17","18","18.587","19.407","20.334","19.687","20.261","20.321","20.091","19.816","19.752","18.983","18.837","18.556","18.34","",
"Wallis and Futuna","WLF","Total final energy consumption (TFEC) (TJ)","1.1_TOTAL.FINAL.ENERGY.CONSUM","0","0","0","0","0","0","0","0","0","0","0","73.60468","198.349766","195.791269","195.2825","195.2080665","191.0912201","197.8528","183.1366","185.3057","182.8696","186.007","176.3788","172.8164","171.249","169.378212992085","",
"Caucasian and Central Asia","CCA","Access to Clean Fuels and Technologies for cooking (% of total population)","2.1_ACCESS.CFT.TOT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caucasian and Central Asia","CCA","Access to electricity (% of rural population with access)","1.2_ACCESS.ELECTRICITY.RURAL","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caucasian and Central Asia","CCA","Access to electricity (% of total population)","1.1_ACCESS.ELECTRICITY.TOT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caucasian and Central Asia","CCA","Access to electricity (% of urban population with access)","1.3_ACCESS.ELECTRICITY.URBAN","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caucasian and Central Asia","CCA","Energy intensity level of primary energy (MJ/2011 USD PPP)","6.1_PRIMARY.ENERGY.INTENSITY","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caucasian and Central Asia","CCA","Renewable electricity output (GWh)","4.1.2_REN.ELECTRICITY.OUTPUT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caucasian and Central Asia","CCA","Renewable electricity share of total electricity output (%)","4.1_SHARE.RE.IN.ELECTRICITY","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caucasian and Central Asia","CCA","Renewable energy consumption (TJ)","3.1_RE.CONSUMPTION","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caucasian and Central Asia","CCA","Renewable energy share of TFEC (%)","2.1_SHARE.TOTAL.RE.IN.TFEC","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caucasian and Central Asia","CCA","Total electricity output (GWh)","4.1.1_TOTAL.ELECTRICITY.OUTPUT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caucasian and Central Asia","CCA","Total final energy consumption (TFEC) (TJ)","1.1_TOTAL.FINAL.ENERGY.CONSUM","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caucasus and Central Asia","GCA","Access to Clean Fuels and Technologies for cooking (% of total population)","2.1_ACCESS.CFT.TOT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caucasus and Central Asia","GCA","Access to electricity (% of rural population with access)","1.2_ACCESS.ELECTRICITY.RURAL","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caucasus and Central Asia","GCA","Access to electricity (% of total population)","1.1_ACCESS.ELECTRICITY.TOT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caucasus and Central Asia","GCA","Access to electricity (% of urban population with access)","1.3_ACCESS.ELECTRICITY.URBAN","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caucasus and Central Asia","GCA","Energy intensity level of primary energy (MJ/2011 USD PPP)","6.1_PRIMARY.ENERGY.INTENSITY","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caucasus and Central Asia","GCA","Renewable electricity output (GWh)","4.1.2_REN.ELECTRICITY.OUTPUT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caucasus and Central Asia","GCA","Renewable electricity share of total electricity output (%)","4.1_SHARE.RE.IN.ELECTRICITY","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caucasus and Central Asia","GCA","Renewable energy consumption (TJ)","3.1_RE.CONSUMPTION","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caucasus and Central Asia","GCA","Renewable energy share of TFEC (%)","2.1_SHARE.TOTAL.RE.IN.TFEC","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caucasus and Central Asia","GCA","Total electricity output (GWh)","4.1.1_TOTAL.ELECTRICITY.OUTPUT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caucasus and Central Asia","GCA","Total final energy consumption (TFEC) (TJ)","1.1_TOTAL.FINAL.ENERGY.CONSUM","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Asia (including Japan)","GEJ","Access to Clean Fuels and Technologies for cooking (% of total population)","2.1_ACCESS.CFT.TOT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Asia (including Japan)","GEJ","Access to electricity (% of rural population with access)","1.2_ACCESS.ELECTRICITY.RURAL","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Asia (including Japan)","GEJ","Access to electricity (% of total population)","1.1_ACCESS.ELECTRICITY.TOT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Asia (including Japan)","GEJ","Access to electricity (% of urban population with access)","1.3_ACCESS.ELECTRICITY.URBAN","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Asia (including Japan)","GEJ","Energy intensity level of primary energy (MJ/2011 USD PPP)","6.1_PRIMARY.ENERGY.INTENSITY","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Asia (including Japan)","GEJ","Renewable electricity output (GWh)","4.1.2_REN.ELECTRICITY.OUTPUT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Asia (including Japan)","GEJ","Renewable electricity share of total electricity output (%)","4.1_SHARE.RE.IN.ELECTRICITY","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Asia (including Japan)","GEJ","Renewable energy consumption (TJ)","3.1_RE.CONSUMPTION","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Asia (including Japan)","GEJ","Renewable energy share of TFEC (%)","2.1_SHARE.TOTAL.RE.IN.TFEC","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Asia (including Japan)","GEJ","Total electricity output (GWh)","4.1.1_TOTAL.ELECTRICITY.OUTPUT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Asia (including Japan)","GEJ","Total final energy consumption (TFEC) (TJ)","1.1_TOTAL.FINAL.ENERGY.CONSUM","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Asia (not including Japan)","GEA","Access to Clean Fuels and Technologies for cooking (% of total population)","2.1_ACCESS.CFT.TOT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Asia (not including Japan)","GEA","Access to electricity (% of rural population with access)","1.2_ACCESS.ELECTRICITY.RURAL","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Asia (not including Japan)","GEA","Access to electricity (% of total population)","1.1_ACCESS.ELECTRICITY.TOT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Asia (not including Japan)","GEA","Access to electricity (% of urban population with access)","1.3_ACCESS.ELECTRICITY.URBAN","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Asia (not including Japan)","GEA","Energy intensity level of primary energy (MJ/2011 USD PPP)","6.1_PRIMARY.ENERGY.INTENSITY","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Asia (not including Japan)","GEA","Renewable electricity output (GWh)","4.1.2_REN.ELECTRICITY.OUTPUT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Asia (not including Japan)","GEA","Renewable electricity share of total electricity output (%)","4.1_SHARE.RE.IN.ELECTRICITY","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Asia (not including Japan)","GEA","Renewable energy consumption (TJ)","3.1_RE.CONSUMPTION","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Asia (not including Japan)","GEA","Renewable energy share of TFEC (%)","2.1_SHARE.TOTAL.RE.IN.TFEC","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Asia (not including Japan)","GEA","Total electricity output (GWh)","4.1.1_TOTAL.ELECTRICITY.OUTPUT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Asia (not including Japan)","GEA","Total final energy consumption (TFEC) (TJ)","1.1_TOTAL.FINAL.ENERGY.CONSUM","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Europe","GEE","Access to Clean Fuels and Technologies for cooking (% of total population)","2.1_ACCESS.CFT.TOT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Europe","GEE","Access to electricity (% of rural population with access)","1.2_ACCESS.ELECTRICITY.RURAL","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Europe","GEE","Access to electricity (% of total population)","1.1_ACCESS.ELECTRICITY.TOT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Europe","GEE","Access to electricity (% of urban population with access)","1.3_ACCESS.ELECTRICITY.URBAN","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Europe","GEE","Energy intensity level of primary energy (MJ/2011 USD PPP)","6.1_PRIMARY.ENERGY.INTENSITY","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Europe","GEE","Renewable electricity output (GWh)","4.1.2_REN.ELECTRICITY.OUTPUT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Europe","GEE","Renewable electricity share of total electricity output (%)","4.1_SHARE.RE.IN.ELECTRICITY","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Europe","GEE","Renewable energy consumption (TJ)","3.1_RE.CONSUMPTION","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Europe","GEE","Renewable energy share of TFEC (%)","2.1_SHARE.TOTAL.RE.IN.TFEC","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Europe","GEE","Total electricity output (GWh)","4.1.1_TOTAL.ELECTRICITY.OUTPUT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eastern Europe","GEE","Total final energy consumption (TFEC) (TJ)","1.1_TOTAL.FINAL.ENERGY.CONSUM","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe","GEU","Access to Clean Fuels and Technologies for cooking (% of total population)","2.1_ACCESS.CFT.TOT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe","GEU","Access to electricity (% of rural population with access)","1.2_ACCESS.ELECTRICITY.RURAL","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe","GEU","Access to electricity (% of total population)","1.1_ACCESS.ELECTRICITY.TOT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe","GEU","Access to electricity (% of urban population with access)","1.3_ACCESS.ELECTRICITY.URBAN","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe","GEU","Energy intensity level of primary energy (MJ/2011 USD PPP)","6.1_PRIMARY.ENERGY.INTENSITY","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe","GEU","Renewable electricity output (GWh)","4.1.2_REN.ELECTRICITY.OUTPUT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe","GEU","Renewable electricity share of total electricity output (%)","4.1_SHARE.RE.IN.ELECTRICITY","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe","GEU","Renewable energy consumption (TJ)","3.1_RE.CONSUMPTION","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe","GEU","Renewable energy share of TFEC (%)","2.1_SHARE.TOTAL.RE.IN.TFEC","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe","GEU","Total electricity output (GWh)","4.1.1_TOTAL.ELECTRICITY.OUTPUT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe","GEU","Total final energy consumption (TFEC) (TJ)","1.1_TOTAL.FINAL.ENERGY.CONSUM","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income","HIC","Access to Clean Fuels and Technologies for cooking (% of total population)","2.1_ACCESS.CFT.TOT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income","HIC","Access to electricity (% of rural population with access)","1.2_ACCESS.ELECTRICITY.RURAL","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income","HIC","Access to electricity (% of total population)","1.1_ACCESS.ELECTRICITY.TOT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income","HIC","Access to electricity (% of urban population with access)","1.3_ACCESS.ELECTRICITY.URBAN","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income","HIC","Energy intensity level of primary energy (MJ/2011 USD PPP)","6.1_PRIMARY.ENERGY.INTENSITY","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income","HIC","Renewable electricity output (GWh)","4.1.2_REN.ELECTRICITY.OUTPUT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income","HIC","Renewable electricity share of total electricity output (%)","4.1_SHARE.RE.IN.ELECTRICITY","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income","HIC","Renewable energy consumption (TJ)","3.1_RE.CONSUMPTION","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income","HIC","Renewable energy share of TFEC (%)","2.1_SHARE.TOTAL.RE.IN.TFEC","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income","HIC","Total electricity output (GWh)","4.1.1_TOTAL.ELECTRICITY.OUTPUT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income","HIC","Total final energy consumption (TFEC) (TJ)","1.1_TOTAL.FINAL.ENERGY.CONSUM","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income: nonOECD","NOC","Access to Clean Fuels and Technologies for cooking (% of total population)","2.1_ACCESS.CFT.TOT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income: nonOECD","NOC","Access to electricity (% of rural population with access)","1.2_ACCESS.ELECTRICITY.RURAL","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income: nonOECD","NOC","Access to electricity (% of total population)","1.1_ACCESS.ELECTRICITY.TOT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income: nonOECD","NOC","Access to electricity (% of urban population with access)","1.3_ACCESS.ELECTRICITY.URBAN","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income: nonOECD","NOC","Energy intensity level of primary energy (MJ/2011 USD PPP)","6.1_PRIMARY.ENERGY.INTENSITY","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income: nonOECD","NOC","Renewable electricity output (GWh)","4.1.2_REN.ELECTRICITY.OUTPUT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income: nonOECD","NOC","Renewable electricity share of total electricity output (%)","4.1_SHARE.RE.IN.ELECTRICITY","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income: nonOECD","NOC","Renewable energy consumption (TJ)","3.1_RE.CONSUMPTION","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income: nonOECD","NOC","Renewable energy share of TFEC (%)","2.1_SHARE.TOTAL.RE.IN.TFEC","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income: nonOECD","NOC","Total electricity output (GWh)","4.1.1_TOTAL.ELECTRICITY.OUTPUT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income: nonOECD","NOC","Total final energy consumption (TFEC) (TJ)","1.1_TOTAL.FINAL.ENERGY.CONSUM","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income: OECD","OEC","Access to Clean Fuels and Technologies for cooking (% of total population)","2.1_ACCESS.CFT.TOT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income: OECD","OEC","Access to electricity (% of rural population with access)","1.2_ACCESS.ELECTRICITY.RURAL","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income: OECD","OEC","Access to electricity (% of total population)","1.1_ACCESS.ELECTRICITY.TOT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income: OECD","OEC","Access to electricity (% of urban population with access)","1.3_ACCESS.ELECTRICITY.URBAN","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income: OECD","OEC","Energy intensity level of primary energy (MJ/2011 USD PPP)","6.1_PRIMARY.ENERGY.INTENSITY","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income: OECD","OEC","Renewable electricity output (GWh)","4.1.2_REN.ELECTRICITY.OUTPUT","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income: OECD","OEC","Renewable electricity share of total electricity output (%)","4.1_SHARE.RE.IN.ELECTRICITY","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income: OECD","OEC","Renewable energy consumption (TJ)","3.1_RE.CONSUMPTION","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income: OECD","OEC","Renewable energy share of TFEC (%)","2.1_SHARE.TOTAL.RE.IN.TFEC","","","","","","","","","","","","","","","","","","","","","","","","","","","",
