country,month_year,NO2,O3,PM10,PM2.5
Italy,2019-11,25.674166666666668,29.830999999999992,14.679166666666658,11.272750000000002
Italy,2019-12,34.42169354838711,27.135322580645163,21.842096774193543,17.7133064516129
Italy,2020-01,44.80112903225809,21.60306451612903,33.7101612903226,27.938790322580644
Italy,2020-02,32.1426724137931,41.33568965517242,25.432672413793092,20.918189655172426
Italy,2020-03,25.410403225806455,49.62177419354838,25.742499999999986,21.276935483870954
Italy,2020-04,21.54291666666666,64.97466666666668,25.212583333333328,20.497000000000007
Italy,2020-05,16.118620689655177,69.65293103448276,17.6025,11.60844827586207
Kosovo,2019-01,8.501935483870966,45.528387096774196,19.67967741935484,17.184193548387093
Kosovo,2019-02,7.048214285714287,50.44607142857142,24.467500000000005,19.96607142857142
Kosovo,2019-03,6.012903225806451,60.66419354838711,20.572903225806456,16.880645161290325
Kosovo,2019-04,5.169333333333337,66.76466666666666,24.854,18.614666666666665
Kosovo,2019-05,4.7954838709677405,65.62709677419353,12.174516129032254,9.955806451612903
Kosovo,2019-06,5.323333333333336,63.44433333333334,18.99266666666667,14.213
Kosovo,2019-07,5.78,68.52193548387096,16.509354838709676,13.529677419354837
Kosovo,2019-08,5.712580645161291,74.74322580645159,17.105161290322577,12.904193548387095
Kosovo,2019-09,7.289333333333333,60.13133333333335,16.760666666666665,13.281333333333334
Kosovo,2019-10,13.04903225806452,45.162580645161306,24.89,19.206451612903226
Kosovo,2019-11,9.19,41.998,13.268666666666665,10.132999999999997
Kosovo,2019-12,11.674193548387095,34.40645161290323,16.779677419354837,14.079677419354836
Kosovo,2020-01,14.216129032258065,40.86032258064515,24.460645161290316,21.199999999999996
Kosovo,2020-02,9.421379310344827,55.55896551724138,16.433793103448274,13.48344827586207
Kosovo,2020-03,7.353548387096772,60.274838709677425,24.979354838709675,16.553225806451607
Kosovo,2020-04,5.517999999999998,71.94766666666666,15.876333333333337,12.854666666666667
Kosovo,2020-05,5.39551724137931,68.5851724137931,18.5,10.185172413793106
Latvia,2019-01,14.011290322580646,46.519999999999996,15.163870967741937,13.50483870967742
Latvia,2019-02,10.358571428571429,50.707857142857144,13.820000000000004,11.345000000000002
Latvia,2019-03,7.223870967741936,62.18354838709678,11.864193548387096,9.180967741935481
Latvia,2019-04,7.444666666666668,74.28500000000001,15.169333333333334,11.736999999999998
Latvia,2019-05,6.3680645161290315,69.39935483870968,10.168064516129034,7.650967741935484
Latvia,2019-06,4.200666666666667,68.98433333333335,10.96833333333333,8.548333333333334
Latvia,2019-07,3.1141935483870973,61.04741935483871,9.683225806451611,7.75709677419355
Latvia,2019-08,4.7700000000000005,60.832258064516125,13.635483870967741,10.235806451612904
Latvia,2019-09,4.4573333333333345,54.556333333333335,9.524999999999999,7.371333333333333
Latvia,2019-10,6.636129032258064,43.02838709677419,10.710322580645162,8.478387096774194
Latvia,2019-11,7.145333333333332,34.83100000000001,13.283666666666667,10.613
Latvia,2019-12,7.724516129032257,43.4741935483871,12.017096774193549,8.777096774193547
Latvia,2020-01,7.444516129032258,49.543225806451616,12.92903225806452,8.456774193548386
Latvia,2020-02,6.131379310344829,59.93551724137931,11.66241379310345,8.026896551724137
Latvia,2020-03,6.236129032258066,64.47741935483872,14.534516129032259,11.258709677419354
Latvia,2020-04,3.9256666666666664,72.34866666666669,9.906333333333333,6.621666666666666
Latvia,2020-05,4.089310344827586,68.63793103448276,8.652758620689655,5.941724137931035
Lithuania,2019-01,13.440645161290321,43.318064516129034,11.691935483870967,10.472258064516128
Lithuania,2019-02,10.676785714285717,47.656785714285704,14.24892857142857,11.422142857142857
Lithuania,2019-03,6.101290322580644,59.689354838709676,11.73967741935484,8.731612903225809
Lithuania,2019-04,4.588333333333334,71.137,14.327333333333334,10.856666666666666
Lithuania,2019-05,4.252258064516129,65.17612903225806,9.223870967741936,7.2864516129032255
Lithuania,2019-06,3.409333333333333,64.48166666666665,9.661000000000001,7.942000000000003
Lithuania,2019-07,3.479032258064516,52.84935483870968,10.091612903225805,8.386451612903226
Lithuania,2019-08,5.008387096774193,53.82387096774195,12.597096774193542,9.911290322580644
Lithuania,2019-09,4.549666666666666,49.84466666666666,9.955333333333334,7.681
Lithuania,2019-10,6.800000000000001,40.001290322580644,12.121290322580645,9.460645161290321
Lithuania,2019-11,5.897666666666668,36.209666666666664,12.481666666666667,10.089000000000002
Lithuania,2019-12,7.204193548387097,38.918064516129036,11.785806451612906,8.647096774193548
Lithuania,2020-01,10.036129032258067,42.11967741935483,13.97967741935484,10.019032258064515
Lithuania,2020-02,7.718620689655173,54.77137931034481,10.488965517241379,7.4255172413793105
Lithuania,2020-03,7.419032258064517,57.45903225806451,13.604516129032257,10.728387096774192
Lithuania,2020-04,4.307000000000001,66.24166666666669,9.843333333333334,6.786333333333334
Lithuania,2020-05,4.665172413793104,63.42344827586207,6.180689655172414,4.439310344827587
Luxembourg,2019-01,24.743225806451616,36.50516129032258,14.849032258064517,11.821290322580642
Luxembourg,2019-02,28.822857142857146,36.3125,19.31392857142857,15.738214285714287
Luxembourg,2019-03,16.63483870967742,62.8016129032258,13.57741935483871,10.649677419354834
Luxembourg,2019-04,18.848000000000003,64.87433333333334,17.421,14.91933333333333
Luxembourg,2019-05,15.904838709677415,63.90612903225806,12.399354838709678,10.078387096774193
Luxembourg,2019-06,10.116999999999999,71.52133333333333,11.86166666666667,8.655333333333335
Luxembourg,2019-07,8.538064516129033,73.51677419354839,13.04935483870968,9.23
Luxembourg,2019-08,9.180645161290323,63.35870967741934,11.466774193548387,8.3
Luxembourg,2019-09,9.29233333333333,52.18400000000001,9.160666666666668,5.711666666666667
Luxembourg,2019-10,9.89290322580645,40.875806451612895,8.801612903225806,5.871612903225807
Luxembourg,2019-11,14.874666666666664,32.01733333333333,10.535666666666666,7.799
Luxembourg,2019-12,14.655806451612905,42.42064516129033,10.6,7.282258064516128
Luxembourg,2020-01,16.296774193548387,40.9967741935484,12.836129032258063,8.677096774193549
Luxembourg,2020-02,9.028275862068963,60.33068965517242,9.770344827586207,6.140344827586206
Luxembourg,2020-03,9.12483870967742,64.09903225806453,13.263548387096774,9.019032258064515
Luxembourg,2020-04,10.306666666666665,76.86,18.63233333333333,12.597666666666669
Luxembourg,2020-05,8.58689655172414,72.72999999999999,11.48137931034483,6.884482758620691
Macedonia,2019-01,11.235806451612905,37.36290322580645,23.60774193548388,21.07580645161291
Macedonia,2019-02,7.339999999999999,35.71892857142858,25.606071428571433,21.672500000000003
