Country,GDP,Date,Value,Unit
Latvia,32.82,19-Jul,5.5360000000000005,thousand tones
Lithuania,48.72,19-Jul,11.069,thousand tones
Luxembourg,63.93,19-Jul,7.141,thousand tones
Hungary,129.7,19-Jul,792.424,thousand tones
Malta,10.57,19-Jul,,thousand tones
Netherlands,880.4,19-Jul,722.395,thousand tones
Austria,436.1,19-Jul,305.978,thousand tones
Poland,552.2,19-Jul,10089.647,thousand tones
Portugal,228.2,19-Jul,314.795,thousand tones
Romania,199.0,19-Jul,1949.0,thousand tones
Slovenia,49.93,19-Jul,346.205,thousand tones
Slovakia,99.75,19-Jul,443.0,thousand tones
Finland,276.3,19-Jul,318.0,thousand tones
Sweden,559.1,19-Jul,176.0,thousand tones
United Kingdom,2848.0,19-Jul,511.517,thousand tones
Norway,511.6,19-Jul,67.172,thousand tones
Montenegro,4.66,19-Jul,147.57,thousand tones
Serbia,42.65,19-Jul,3002.442,thousand tones
Bosnia and Herzegovina,19.55,19-Jul,1338.9589999999996,thousand tones
Ukraine,134.9,19-Jul,3586.8,thousand tones
Moldova,7.74,19-Jul,12.953,thousand tones
Belgium,527.8,19-Aug,303.0,thousand tones
Bulgaria,55.08,19-Aug,2078.488,thousand tones
Denmark,347.2,19-Aug,27.787,thousand tones
Germany,3820.0,19-Aug,12863.388,thousand tones
Estonia,26.36,19-Aug,760.421,thousand tones
Ireland,245.8,19-Aug,,thousand tones
Greece,246.4,19-Aug,2113.78,thousand tones
Spain,1400.0,19-Aug,484.0,thousand tones
France,2902.0,19-Aug,889.495,thousand tones
Croatia,57.18,19-Aug,60.0,thousand tones
Italy,2129.0,19-Aug,580.0,thousand tones
Cyprus,21.34,19-Aug,4.4430000000000005,thousand tones
Latvia,32.82,19-Aug,6.789,thousand tones
Lithuania,48.72,19-Aug,22.863000000000003,thousand tones
Luxembourg,63.93,19-Aug,7.715,thousand tones
Hungary,129.7,19-Aug,664.128,thousand tones
Malta,10.57,19-Aug,,thousand tones
Netherlands,880.4,19-Aug,517.5,thousand tones
Austria,436.1,19-Aug,337.3640000000001,thousand tones
Poland,552.2,19-Aug,9904.243,thousand tones
Portugal,228.2,19-Aug,45.912,thousand tones
Romania,199.0,19-Aug,1843.0,thousand tones
Slovenia,49.93,19-Aug,246.532,thousand tones
Slovakia,99.75,19-Aug,334.0,thousand tones
Finland,276.3,19-Aug,381.0,thousand tones
Sweden,559.1,19-Aug,174.0,thousand tones
United Kingdom,2848.0,19-Aug,511.446,thousand tones
Norway,511.6,19-Aug,67.172,thousand tones
Montenegro,4.66,19-Aug,161.95,thousand tones
Serbia,42.65,19-Aug,3527.5840000000007,thousand tones
Bosnia and Herzegovina,19.55,19-Aug,1226.64,thousand tones
Ukraine,134.9,19-Aug,3670.2,thousand tones
Moldova,7.74,19-Aug,6.7,thousand tones
Belgium,527.8,19-Sep,298.1,thousand tones
Bulgaria,55.08,19-Sep,2499.393,thousand tones
Denmark,347.2,19-Sep,39.675,thousand tones
Germany,3820.0,19-Sep,12535.235,thousand tones
Estonia,26.36,19-Sep,1231.091,thousand tones
Ireland,245.8,19-Sep,,thousand tones
Greece,246.4,19-Sep,1428.239,thousand tones
Spain,1400.0,19-Sep,452.0,thousand tones
France,2902.0,19-Sep,754.194,thousand tones
Croatia,57.18,19-Sep,59.0,thousand tones
Italy,2129.0,19-Sep,920.0,thousand tones
Cyprus,21.34,19-Sep,2.033,thousand tones
Latvia,32.82,19-Sep,6.46,thousand tones
Lithuania,48.72,19-Sep,35.421,thousand tones
Luxembourg,63.93,19-Sep,5.336,thousand tones
Hungary,129.7,19-Sep,756.58,thousand tones
