Country,GDP,Date,Value,Unit
Montenegro,4.66,Sep-19,,thousand tones
Albania,13.4,Sep-19,5.0,thousand tones
Turkey,813.3,Sep-19,3078.0,thousand tones
Belgium,527.8,Oct-19,2801.0,thousand tones
Bulgaria,55.08,Oct-19,646.0,thousand tones
Denmark,347.2,Oct-19,668.0,thousand tones
Germany,3820.0,Oct-19,7653.534000000001,thousand tones
Estonia,26.36,Oct-19,0.0,thousand tones
Ireland,245.8,Oct-19,258.0,thousand tones
Greece,246.4,Oct-19,1751.0,thousand tones
Spain,1400.0,Oct-19,5734.0,thousand tones
France,2902.0,Oct-19,3444.0,thousand tones
Croatia,57.18,Oct-19,349.0,thousand tones
Italy,2129.0,Oct-19,5672.0,thousand tones
Cyprus,21.34,Oct-19,0.0,thousand tones
Latvia,32.82,Oct-19,0.0,thousand tones
Lithuania,48.72,Oct-19,812.0,thousand tones
Luxembourg,63.93,Oct-19,0.0,thousand tones
Hungary,129.7,Oct-19,589.0,thousand tones
Malta,10.57,Oct-19,0.0,thousand tones
Netherlands,880.4,Oct-19,5025.0,thousand tones
Austria,436.1,Oct-19,813.0,thousand tones
Poland,552.2,Oct-19,2252.0,thousand tones
Portugal,228.2,Oct-19,923.0,thousand tones
Romania,199.0,Oct-19,1086.0,thousand tones
Slovenia,49.93,Oct-19,0.0,thousand tones
Slovakia,99.75,Oct-19,438.0,thousand tones
Finland,276.3,Oct-19,1054.0,thousand tones
Sweden,559.1,Oct-19,945.0,thousand tones
United Kingdom,2848.0,Oct-19,4616.0,thousand tones
Norway,511.6,Oct-19,1028.0,thousand tones
Montenegro,4.66,Oct-19,,thousand tones
Albania,13.4,Oct-19,5.0,thousand tones
Turkey,813.3,Oct-19,3087.0,thousand tones
Belgium,527.8,Nov-19,2803.0,thousand tones
Bulgaria,55.08,Nov-19,585.0,thousand tones
Denmark,347.2,Nov-19,639.0,thousand tones
Germany,3820.0,Nov-19,7292.838000000001,thousand tones
Estonia,26.36,Nov-19,0.0,thousand tones
Ireland,245.8,Nov-19,248.0,thousand tones
Greece,246.4,Nov-19,1586.0,thousand tones
Spain,1400.0,Nov-19,4802.0,thousand tones
France,2902.0,Nov-19,3258.0,thousand tones
Croatia,57.18,Nov-19,327.0,thousand tones
Italy,2129.0,Nov-19,5517.0,thousand tones
Cyprus,21.34,Nov-19,0.0,thousand tones
Latvia,32.82,Nov-19,0.0,thousand tones
Lithuania,48.72,Nov-19,800.0,thousand tones
Luxembourg,63.93,Nov-19,0.0,thousand tones
Hungary,129.7,Nov-19,612.0,thousand tones
Malta,10.57,Nov-19,0.0,thousand tones
Netherlands,880.4,Nov-19,4478.0,thousand tones
Austria,436.1,Nov-19,712.6619999999999,thousand tones
Poland,552.2,Nov-19,2273.0,thousand tones
Portugal,228.2,Nov-19,1177.0,thousand tones
Romania,199.0,Nov-19,987.0,thousand tones
Slovenia,49.93,Nov-19,0.0,thousand tones
Slovakia,99.75,Nov-19,495.0,thousand tones
Finland,276.3,Nov-19,955.0,thousand tones
Sweden,559.1,Nov-19,1214.0,thousand tones
United Kingdom,2848.0,Nov-19,4486.0,thousand tones
Norway,511.6,Nov-19,1252.0,thousand tones
Montenegro,4.66,Nov-19,,thousand tones
Albania,13.4,Nov-19,4.0,thousand tones
