country,Country_code,unit,2020Q1,2019Q4,2019Q3,2019Q2,2019Q1,2020M03,2020M02,2020M01,2019M12,2019M11,2019M10,2019M09,2019M08,2019M07,2019M06,2019M05,2019M04,2019M03,2019M02,2019M01
Belgium,BEL,Thousand tonnes,,,1657,1575,1592,,,,,,,552,552,552,525,525,525,530,530,530
Belgium,BEL,Thousand tonnes,,,1379,1518,1581,,,,,,,459,459,459,506,506,506,527,527,527
Belgium,BEL,Thousand tonnes,,,1012,1059,1133,,,,,,,337,337,337,353,353,353,377,377,377
Belgium,BEL,Thousand tonnes,,,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0
Belgium,BEL,Thousand tonnes,,,52996,56650,51251,,,,,,,17665,17665,17665,18883,18883,18883,17083,17083,17083
Belgium,BEL,Thousand tonnes,,,234,147,75,,,,,,,78,78,78,49,49,49,25,25,25
Belgium,BEL,Thousand tonnes,,,37099,40452,36793,,,,,,,12366,12366,12366,13484,13484,13484,12264,12264,12264
Belgium,BEL,Thousand tonnes,,,40400,44338,40452,,,,,,,13466,13466,13466,14779,14779,14779,13484,13484,13484
Belgium,BEL,Thousand tonnes,,,37101,40452,36801,,,,,,,12367,12367,12367,13484,13484,13484,12267,12267,12267
Belgium,BEL,Thousand tonnes,,,37112,40466,36814,,,,,,,12370,12370,12370,13488,13488,13488,12271,12271,12271
Belgium,BEL,Thousand tonnes,,,38972,42299,38417,,,,,,,12990,12990,12990,14099,14099,14099,12805,12805,12805
Belgium,BEL,Thousand tonnes,,,15663,16051,14384,,,,,,,5221,5221,5221,5350,5350,5350,4794,4794,4794
Belgium,BEL,Thousand tonnes,,,12363,12165,10725,,,,,,,4121,4121,4121,4055,4055,4055,3575,3575,3575
Belgium,BEL,Thousand tonnes,,,15661,16051,14376,,,,,,,5220,5220,5220,5350,5350,5350,4792,4792,4792
Belgium,BEL,Thousand tonnes,,,15650,16037,14362,,,,,,,5216,5216,5216,5345,5345,5345,4787,4787,4787
Belgium,BEL,Thousand tonnes,,,13790,14204,12760,,,,,,,4596,4596,4596,4734,4734,4734,4253,4253,4253
Belgium,BEL,Thousand tonnes,,,0,,,,,,,,,0,0,0,,,,,,
Belgium,BEL,Thousand tonnes,,,26574,27499,24485,,,,,,,8858,8858,8858,9166,9166,9166,8161,8161,8161
Belgium,BEL,Thousand tonnes,,,216,138,63,,,,,,,72,72,72,46,46,46,21,21,21
Belgium,BEL,Thousand tonnes,,,19144,20286,18181,,,,,,,6381,6381,6381,6762,6762,6762,6060,6060,6060
Belgium,BEL,Thousand tonnes,,,20495,21974,19665,,,,,,,6831,6831,6831,7324,7324,7324,6555,6555,6555
Belgium,BEL,Thousand tonnes,,,19144,20286,18181,,,,,,,6381,6381,6381,6762,6762,6762,6060,6060,6060
Belgium,BEL,Thousand tonnes,,,19144,20286,18181,,,,,,,6381,6381,6381,6762,6762,6762,6060,6060,6060
Belgium,BEL,Thousand tonnes,,,19907,20843,18810,,,,,,,6635,6635,6635,6947,6947,6947,6270,6270,6270
Belgium,BEL,Thousand tonnes,,,7213,7075,6241,,,,,,,2404,2404,2404,2358,2358,2358,2080,2080,2080
Belgium,BEL,Thousand tonnes,,,5862,5388,4757,,,,,,,1954,1954,1954,1796,1796,1796,1585,1585,1585
Belgium,BEL,Thousand tonnes,,,7213,7075,6241,,,,,,,2404,2404,2404,2358,2358,2358,2080,2080,2080
Belgium,BEL,Thousand tonnes,,,7213,7075,6241,,,,,,,2404,2404,2404,2358,2358,2358,2080,2080,2080
Belgium,BEL,Thousand tonnes,,,6450,6519,5612,,,,,,,2150,2150,2150,2173,2173,2173,1870,1870,1870
Belgium,BEL,Thousand tonnes,,,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0
Belgium,BEL,Thousand tonnes,,,26423,29151,26767,,,,,,,8807,8807,8807,9717,9717,9717,8922,8922,8922
Belgium,BEL,Thousand tonnes,,,18,9,12,,,,,,,6,6,6,3,3,3,4,4,4
Belgium,BEL,Thousand tonnes,,,17955,20166,18611,,,,,,,5985,5985,5985,6722,6722,6722,6203,6203,6203
Belgium,BEL,Thousand tonnes,,,19904,22365,20786,,,,,,,6634,6634,6634,7455,7455,7455,6928,6928,6928
