country,gdp,year,month,value,unit
Austria,436.1,19,7,305.978,thousand tones
Poland,552.2,19,7,10089.647,thousand tones
Portugal,228.2,19,7,314.795,thousand tones
Romania,199.0,19,7,1949.0,thousand tones
Slovenia,49.93,19,7,346.205,thousand tones
Slovakia,99.75,19,7,443.0,thousand tones
Finland,276.3,19,7,318.0,thousand tones
Sweden,559.1,19,7,176.0,thousand tones
United Kingdom,2848.0,19,7,511.517,thousand tones
Norway,511.6,19,7,67.172,thousand tones
Montenegro,4.66,19,7,147.57,thousand tones
Serbia,42.65,19,7,3002.442,thousand tones
Bosnia and Herzegovina,19.55,19,7,1338.9589999999996,thousand tones
Ukraine,134.9,19,7,3586.8,thousand tones
Moldova,7.74,19,7,12.953,thousand tones
Belgium,527.8,19,8,303.0,thousand tones
Bulgaria,55.08,19,8,2078.488,thousand tones
Denmark,347.2,19,8,27.787,thousand tones
Germany,3820.0,19,8,12863.388,thousand tones
Estonia,26.36,19,8,760.421,thousand tones
Ireland,245.8,19,8,,thousand tones
Greece,246.4,19,8,2113.78,thousand tones
Spain,1400.0,19,8,484.0,thousand tones
France,2902.0,19,8,889.495,thousand tones
Croatia,57.18,19,8,60.0,thousand tones
Italy,2129.0,19,8,580.0,thousand tones
Cyprus,21.34,19,8,4.4430000000000005,thousand tones
Latvia,32.82,19,8,6.789,thousand tones
Lithuania,48.72,19,8,22.863000000000003,thousand tones
Luxembourg,63.93,19,8,7.715,thousand tones
Hungary,129.7,19,8,664.128,thousand tones
Malta,10.57,19,8,,thousand tones
Netherlands,880.4,19,8,517.5,thousand tones
Austria,436.1,19,8,337.3640000000001,thousand tones
Poland,552.2,19,8,9904.243,thousand tones
Portugal,228.2,19,8,45.912,thousand tones
Romania,199.0,19,8,1843.0,thousand tones
Slovenia,49.93,19,8,246.532,thousand tones
Slovakia,99.75,19,8,334.0,thousand tones
Finland,276.3,19,8,381.0,thousand tones
Sweden,559.1,19,8,174.0,thousand tones
United Kingdom,2848.0,19,8,511.446,thousand tones
Norway,511.6,19,8,67.172,thousand tones
Montenegro,4.66,19,8,161.95,thousand tones
Serbia,42.65,19,8,3527.5840000000007,thousand tones
Bosnia and Herzegovina,19.55,19,8,1226.64,thousand tones
Ukraine,134.9,19,8,3670.2,thousand tones
Moldova,7.74,19,8,6.7,thousand tones
Belgium,527.8,19,9,298.1,thousand tones
Bulgaria,55.08,19,9,2499.393,thousand tones
Denmark,347.2,19,9,39.675,thousand tones
Germany,3820.0,19,9,12535.235,thousand tones
Estonia,26.36,19,9,1231.091,thousand tones
Ireland,245.8,19,9,,thousand tones
Greece,246.4,19,9,1428.239,thousand tones
Spain,1400.0,19,9,452.0,thousand tones
France,2902.0,19,9,754.194,thousand tones
Croatia,57.18,19,9,59.0,thousand tones
Italy,2129.0,19,9,920.0,thousand tones
Cyprus,21.34,19,9,2.033,thousand tones
Latvia,32.82,19,9,6.46,thousand tones
Lithuania,48.72,19,9,35.421,thousand tones
Luxembourg,63.93,19,9,5.336,thousand tones
Hungary,129.7,19,9,756.58,thousand tones
Malta,10.57,19,9,,thousand tones
Netherlands,880.4,19,9,1085.2,thousand tones
Austria,436.1,19,9,269.536,thousand tones
Poland,552.2,19,9,10142.493,thousand tones
Portugal,228.2,19,9,21.848000000000006,thousand tones
Romania,199.0,19,9,1768.0,thousand tones
Slovenia,49.93,19,9,236.247,thousand tones
