Label,Country,Country_code,unit,tra_meas,airline,rep_airp_per_time,2020M04,2020M03,2020M02,2020M01,2019M12,2019M11,2019M10,2019M09,2019M08,2019M07,2019M06,2019M05,2019M04,2019M03,2019M02,2019M01
Direct transit passengers,Bulgaria,BGR,PAS,PAS_TRS,UNK,BG_LBWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Direct transit passengers,Bulgaria,BGR,PAS,PAS_TRS,TOTAL,BG_LBWN,N/A,N/A,N/A,N/A,1,57,6,1436,3162,2447,1045,423,0,421,395,528
Direct transit passengers,Bulgaria,BGR,PAS,PAS_TRS,LIC_NEU,BG_LBWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Direct transit passengers,Bulgaria,BGR,PAS,PAS_TRS,LIC_EU,BG_LBWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Transfer passengers,Bulgaria,BGR,PAS,PAS_TRF,TOTAL,BG_LBWN,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Passengers carried,Bulgaria,BGR,PAS,PAS_CRD,UNK,BG_LBWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Passengers carried,Bulgaria,BGR,PAS,PAS_CRD,TOTAL,BG_LBWN,N/A,N/A,N/A,N/A,79469,73415,115024,288273,413261,404167,307123,143023,79332,59077,50128,56264
Passengers carried,Bulgaria,BGR,PAS,PAS_CRD,LIC_NEU,BG_LBWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Passengers carried,Bulgaria,BGR,PAS,PAS_CRD,LIC_EU,BG_LBWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Commercial aircraft movements (passenger, freight and mail, commercial general aviation operations)",Bulgaria,BGR,MOVE,CACM,UNK,BG_LBWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Commercial aircraft movements (passenger, freight and mail, commercial general aviation operations)",Bulgaria,BGR,MOVE,CACM,TOTAL,BG_LBWN,N/A,N/A,N/A,N/A,599,569,866,1979,2623,2587,2079,1067,610,464,413,471
"Commercial aircraft movements (passenger, freight and mail, commercial general aviation operations)",Bulgaria,BGR,MOVE,CACM,LIC_NEU,BG_LBWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Commercial aircraft movements (passenger, freight and mail, commercial general aviation operations)",Bulgaria,BGR,MOVE,CACM,LIC_EU,BG_LBWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Aircraft movements (passenger, freight and mail, commercial and non-commercial general aviation operations)",Bulgaria,BGR,MOVE,ACM,UNK,BG_LBWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Aircraft movements (passenger, freight and mail, commercial and non-commercial general aviation operations)",Bulgaria,BGR,MOVE,ACM,TOTAL,BG_LBWN,N/A,N/A,N/A,N/A,677,627,960,2154,2771,2715,2220,1166,683,513,469,513
"Aircraft movements (passenger, freight and mail, commercial and non-commercial general aviation operations)",Bulgaria,BGR,MOVE,ACM,LIC_NEU,BG_LBWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Aircraft movements (passenger, freight and mail, commercial and non-commercial general aviation operations)",Bulgaria,BGR,MOVE,ACM,LIC_EU,BG_LBWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Freight and mail loaded and unloaded,Bulgaria,BGR,T,FRM_LD_NLD,UNK,BG_LBSF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Freight and mail loaded and unloaded,Bulgaria,BGR,T,FRM_LD_NLD,TOTAL,BG_LBSF,N/A,N/A,N/A,N/A,2013,2123,2242,1932,1799,2147,2233,1914,1895,2035,1922,1677
Freight and mail loaded and unloaded,Bulgaria,BGR,T,FRM_LD_NLD,LIC_NEU,BG_LBSF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Freight and mail loaded and unloaded,Bulgaria,BGR,T,FRM_LD_NLD,LIC_EU,BG_LBSF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Direct transit passengers,Bulgaria,BGR,PAS,PAS_TRS,UNK,BG_LBSF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Direct transit passengers,Bulgaria,BGR,PAS,PAS_TRS,TOTAL,BG_LBSF,N/A,N/A,N/A,N/A,131,155,785,416,186,327,468,898,210,0,0,291
Direct transit passengers,Bulgaria,BGR,PAS,PAS_TRS,LIC_NEU,BG_LBSF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Direct transit passengers,Bulgaria,BGR,PAS,PAS_TRS,LIC_EU,BG_LBSF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Transfer passengers,Bulgaria,BGR,PAS,PAS_TRF,TOTAL,BG_LBSF,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Passengers carried,Bulgaria,BGR,PAS,PAS_CRD,UNK,BG_LBSF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Passengers carried,Bulgaria,BGR,PAS,PAS_CRD,TOTAL,BG_LBSF,N/A,N/A,N/A,N/A,564853,520995,592690,619299,671700,661110,629123,631769,595233,569903,496439,525069
Passengers carried,Bulgaria,BGR,PAS,PAS_CRD,LIC_NEU,BG_LBSF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Passengers carried,Bulgaria,BGR,PAS,PAS_CRD,LIC_EU,BG_LBSF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Commercial aircraft movements (passenger, freight and mail, commercial general aviation operations)",Bulgaria,BGR,MOVE,CACM,UNK,BG_LBSF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Commercial aircraft movements (passenger, freight and mail, commercial general aviation operations)",Bulgaria,BGR,MOVE,CACM,TOTAL,BG_LBSF,N/A,N/A,N/A,N/A,4313,4091,4582,4690,4980,5000,4739,4760,4494,4284,3784,4236
