indic_is,unit,hhtyp,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
H_BBFIX,PC_HH,A1_DCH,IT	64 	58 	51 	52 	50 	49 	50 	38 	35 	47 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,LT	85 	80 	87 	83 	77 	76 	68 	67 	61 	67 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,LU	95 u	83 b	: u	89 u	100 u	93 u	73 u	72 u	79 u	92 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,LV	76 	78 	69 	72 b	68 	80 	82 	75 	70 	62 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,ME	: u	: u	: u	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,MK	: u	: u	: u	: u	: u	: u	: u	: u	: 	52 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,MT	: u	: u	: u	: u	: u	: u	: u	: u	68 u	: u	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,NL	97 	98 	100 	100 u	93 	: u	: u	93 u	82 u	81 u	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,NO	100 u	97 u	: u	100 u	93 u	95 u	79 u	82 u	75 u	71 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,PL	62 	57 	61 	70 	69 u	70 	68 	67 	63 	58 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,PT	89 	89 	93 	87 	81 	65 	69 	65 	57 	54 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,RO	75 u	70 u	81 u	54 	60 	74 bu	63 u	65 u	38 	28 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,RS	82 u	80 u	73 u	: 	79 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,SE	89 bu	84 u	: u	60 bu	89 u	65 u	: u	75 u	88 u	74 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,SI	: u	97 u	: u	: u	: u	: u	93 u	93 u	59 u	77 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,SK	72 u	74 u	68 u	80 u	84 u	79 u	69 	69 	40 	41 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,TR	: 	: 	: 	: 	: 	: 	40 	28 	: 	32 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,UK	94 	96 	89 	83 	78 	76 	82 	67 	71 	: u	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,XK	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,AL	: 	31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,AT	71 	72 	70 	69 	64 	61 	55 	54 	53 	44 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,BA	57 	50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,BE	82 	74 u	80 	82 	77 	80 	76 	72 	72 	66 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,BG	54 	51 	48 	47 	44 	39 	40 	37 	29 	18 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,CH	87 	: 	80 b	: 	: 	84 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,CY	80 	70 	63 	56 	54 	43 	41 	42 	24 	25 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,CZ	69 	67 	68 	60 	66 	67 	55 	55 	46 	38 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,DE	91 	89 	91 	89 	87 	84 	82 	80 	74 	72 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,DK	86 	86 	88 	86 	81 	83 	87 	83 	81 	79 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,EA	76 	74 	73 	72 	69 	67 	65 	63 	58 	55 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,EE	83 	84 	77 	78 	76 	67 b	66 	64 	58 	56 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,EL	64 	61 	53 	53 	46 	45 	32 	22 	24 	20 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,ES	72 	69 	64 	62 	60 	56 	53 	49 	44 	41 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,EU15	: 	78 	76 	76 	73 	71 	69 	67 	62 	56 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,EU25	: 	: 	: 	: 	: 	: 	: 	: 	: 	54 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,EU27_2007	: 	75 	74 	73 	70 	67 	66 	63 	58 	52 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,EU27_2020	74 	72 	71 	69 	66 	64 	62 	60 	55 	51 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,EU28	77 	75 	74 	72 	70 	67 	65 	63 	58 	52 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,FI	59 	60 	57 	63 	61 	64 	61 	60 	62 	62 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,FR	70 	70 	70 	71 	70 	73 	75 	72 	68 	58 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,HR	53 	53 	51 	48 	47 	42 	44 	37 	32 	29 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,HU	79 	75 	75 	68 	65 	62 	57 	53 	46 	39 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,IE	77 	72 	71 	68 	62 	59 	57 	52 	47 	41 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,IS	93 	93 	96 	: 	: 	90 	90 	92 	91 	84 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,IT	55 	56 	48 	48 	43 	42 	41 	33 	31 	31 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,LT	64 	57 	59 	54 	54 	48 	53 	48 	44 	44 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,LU	92 	89 b	93 	95 	96 	89 	71 	69 	62 	63 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,LV	64 	63 	61 	61 b	66 	57 	59 	56 	46 	41 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,ME	44 	38 	34 	: 	: 	: 	: 	26 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,MK	49 	49 	36 	51 	30 	27 	27 	20 	: 	13 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,MT	76 	79 	77 	73 	71 	71 	63 	62 	61 	41 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,NL	98 	97 	98 	95 	94 	: u	: u	82 	77 	75 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,NO	95 	89 	92 	93 	82 	82 	82 	80 	72 	73 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,PL	58 	56 	55 	51 	47 	47 	45 	43 	39 	36 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,PT	67 	65 	60 	56 	47 	39 	38 	37 	31 	26 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,RO	60 	60 	57 	52 	50 	43 b	44 	37 	21 	17 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,RS	64 	55 	46 	: 	33 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,SE	86 b	82 	82 	78 b	70 	69 	72 	69 	73 	73 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,SI	80 	83 	72 	67 	68 	63 	61 	65 	49 	42 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,SK	67 	62 	61 	67 	65 	65 	58 	57 	40 	35 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,TR	: 	: 	: 	: 	: 	: 	25 	26 	: 	24 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,UK	96 	95 	90 	92 	89 	86 	83 	83 	77 	: u	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,XK	79 	78 	64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,AL	: 	38 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2_DCH,AT	83 	83 	84 	81 	82 	82 	75 	75 	70 	66 	: 	: 	: 	: 	: 	: 	: 
